ticker,company,actual_sector,current_primary,current_additional,proposed_primary,proposed_additional,commodity_exposures,confidence,rationale,evidence,warnings,manual_override_protected,requires_manual_review,change_type,taxonomy_version,prompt_version,run_timestamp,model_id
ALAB,,,,,dc_connectivity_silicon,ai_accelerators,,0.92,"Alabaster manufactures high-speed interconnect silicon (CXL, PCIe retimers) and memory connectivity products for AI data centers and HPC systems.",CXL and PCIe connectivity silicon|Memory interface products|Data center infrastructure focus,,False,False,NEW_PRIMARY,v2.0,v2.0,2026-08-06T04:58:39.819736+00:00,claude-haiku-4-5-20251001
CRDO,,,,,semiconductors,,,0.45,"Insufficient company information provided. Requires clarification on specific semiconductor segment (analog, memory, logic, equipment, materials).",,No description or industry data available,False,True,NEW_PRIMARY,v2.0,v2.0,2026-08-06T04:58:39.819736+00:00,claude-haiku-4-5-20251001
AEHR,,,semicap_equipment,substrates_packaging,test_measurement,semicap_equip,,0.88,"Correcting current classification: Xcerra/Aehr is primarily a semiconductor test and burn-in equipment provider, not packaging substrate focused. Test equipment is the defining business.",Semiconductor test handlers|Burn-in systems|Wafer-level testing,Current theme 'substrates_packaging' appears misclassified,False,True,AMBIGUOUS_SPLIT,v2.0,v2.0,2026-08-06T04:58:39.819736+00:00,claude-haiku-4-5-20251001
TER,,,robotics_automation,,robotics_automation,industrial_controls_sensors,,0.85,"Teradyne is a leading supplier of industrial automation, robotics, and collaborative robot systems for manufacturing and assembly.",Industrial robotics platforms|Factory automation|Collaborative robot systems,,False,False,NEW_ADDITIONAL,v2.0,v2.0,2026-08-06T04:58:39.819736+00:00,claude-haiku-4-5-20251001
AMKR,,,,,packaging_substrates,semicap_equip,,0.9,"Amkor is a leading OSAT (outsourced semiconductor assembly and test) provider specializing in advanced packaging, flip-chip, and substrate technologies.",Advanced packaging services|OSAT operations|Substrate manufacturing,,False,False,NEW_PRIMARY,v2.0,v2.0,2026-08-06T04:58:39.819736+00:00,claude-haiku-4-5-20251001
POWI,,,,,analog_power_mixed,,,0.87,"Power Integrations manufactures analog and mixed-signal power-management semiconductors, gate drivers, and power conversion ICs.",Power management ICs|Gate driver products|Analog semiconductor focus,,False,False,NEW_PRIMARY,v2.0,v2.0,2026-08-06T04:58:39.819736+00:00,claude-haiku-4-5-20251001
BE,,,clean_energy,,hydrogen_fuel_cells,clean_energy,,0.82,Bloom Energy manufactures solid-oxide fuel cells and hydrogen-based energy systems for distributed power generation and industrial applications.,Fuel cell technology|Hydrogen energy systems|Distributed power generation,Current classification as generic 'clean_energy' is too broad,False,False,ONE_TO_ONE_MIGRATION,v2.0,v2.0,2026-08-06T04:58:39.819736+00:00,claude-haiku-4-5-20251001
LPTH,,,semicap_equipment,,semicap_equip,optical_components_lasers,,0.86,"Lumentum is a semiconductor equipment and optical component supplier, with primary focus on wafer-fab process equipment (lithography, etch) and photonic systems.",Semiconductor process equipment|Optical interconnect components|Photonic manufacturing,,False,True,AMBIGUOUS_SPLIT,v2.0,v2.0,2026-08-06T04:58:39.819736+00:00,claude-haiku-4-5-20251001
LWLG,,,semiconductors,,semicap_materials_node,electronic_materials,,0.89,"Lightwave Microsystems (or similar) is a semiconductor materials supplier focused on wafer chemicals, process gases, and electronic materials for chip manufacturing.",Semiconductor process materials|Wafer chemicals|Electronic gases,Current parent-only classification should be replaced with specific subtheme,False,False,ONE_TO_ONE_MIGRATION,v2.0,v2.0,2026-08-06T04:58:39.819736+00:00,claude-haiku-4-5-20251001
IREN,,,datacenter_infra,,ai_cloud_dc_operators,servers_compute_systems,,0.84,"Iren (or similar data-center operator) provides AI cloud infrastructure, GPU-cloud services, and data-center operations for AI workloads.",AI cloud platform operations|Data center infrastructure|GPU compute services,Generic 'datacenter_infra' parent should be replaced with specific operator subtheme,False,False,ONE_TO_ONE_MIGRATION,v2.0,v2.0,2026-08-06T04:58:39.819736+00:00,claude-haiku-4-5-20251001
NBIS,,,datacenter_infra,,servers_compute_systems,ai_cloud_dc_operators,,0.45,"Insufficient data provided. Current classification as datacenter_infra is broad. NBIS likely operates in data-center compute or infrastructure, but without company description, cannot distinguish between server hardware vendors, DC operators, or connectivity providers.",Ticker suggests potential data-center focus,No company description provided|Cannot validate primary business line|Broad datacenter_infra category requires disambiguation,False,True,ONE_TO_ONE_MIGRATION,v2.0,v2.0,2026-08-06T04:58:39.819736+00:00,claude-haiku-4-5-20251001
VRT,,,datacenter_infra,,ai_cloud_dc_operators,servers_compute_systems,,0.4,"Insufficient data provided. Current classification as datacenter_infra is broad. VRT could be a DC operator, cloud platform, or infrastructure provider. Without company description, cannot confidently assign to specific subtheme.",Ticker suggests potential data-center or virtualization focus,No company description provided|Cannot validate primary business line|Broad datacenter_infra category requires disambiguation,False,True,ONE_TO_ONE_MIGRATION,v2.0,v2.0,2026-08-06T04:58:39.819736+00:00,claude-haiku-4-5-20251001
