| Theme                    |    Proxy type | Primary ETF/proxy | Basket / backup symbols                     |
| ------------------------ | ------------: | ----------------- | ------------------------------------------- |
| Memory & Storage         |  ETF + basket | **DRAM**          | MU, WDC, STX, SIMO; backup SMH/SOXX         |
| Rare Earth Metals        |           ETF | **REMX**          | MP, UUUU, TMRC, LYSDY                       |
| Uranium & Nuclear Energy |           ETF | **URA**           | URNM, NLR, CCJ, LEU, BWXT, SMR, OKLO        |
| Metals & Mining          |           ETF | **XME**           | PICK, SLX, FCX, CLF, AA, NUE, STLD          |
| Regional Banks           |           ETF | **KRE**           | KBE, WAL, ZION, CMA, KEY                    |
| Banks                    |           ETF | **KBE**           | XLF, JPM, BAC, WFC, GS, MS                  |
| Cybersecurity            |           ETF | **CIBR**          | HACK, BUG, IHAK, PANW, CRWD, FTNT, ZS, CYBR |
| Robotics & Automation    |           ETF | **BOTZ**          | ROBO, IRBO, SYM, ISRG, TER, ABBNY           |
| Oil & Gas                |           ETF | **XOP**           | XLE, OIH, XOM, CVX, COP, SLB, EOG           |
| Tech Mega Caps           |  ETF + basket | **MAGS**          | AAPL, MSFT, NVDA, AMZN, META, GOOGL, TSLA   |
| Lithium & Battery Tech   |           ETF | **LIT**           | BATT, ALB, SQM, LAC, ENVX, QS               |
| Solar                    |           ETF | **TAN**           | FSLR, ENPH, SEDG, ARRY                      |
| Financials               |           ETF | **XLF**           | VFH, JPM, BAC, GS, MS, BRK.B                |
| Clean Energy             |           ETF | **ICLN**          | PBW, QCLN, CNRG                             |
| Defense                  |           ETF | **ITA**           | XAR, PPA, LMT, RTX, NOC, KTOS, AVAV         |
| Industrials              |           ETF | **XLI**           | VIS, GE, ETN, PH, CAT, DE                   |
| Utilities                |           ETF | **XLU**           | VPU, NEE, CEG, VST, SO, DUK                 |
| Speculative Tech         |           ETF | **ARKK**          | ARKW, ARKQ, PLTR, COIN, TSLA, ROKU          |
| Growth Stocks            |           ETF | **IWF**           | IVW, VUG, QQQ                               |
| Small Caps               |           ETF | **IWM**           | IJR, VB                                     |
| Insurance                |           ETF | **KIE**           | IAK, PGR, CB, ACGL, ALL                     |
| Chemicals & Materials    |           ETF | **XLB**           | IYM, LIN, APD, DD, ECL, SHW                 |
| Agribusiness             |           ETF | **MOO**           | DBA, VEGI, DE, MOS, ADM, BG, CF             |
| Equal-Weighted S&P 500   |           ETF | **RSP**           | —                                           |
| Microcaps                |           ETF | **IWC**           | FDM                                         |
| Travel & Transportation  |           ETF | **IYT**           | JETS, AWAY, UAL, DAL, UPS, FDX              |
| Energy                   |           ETF | **XLE**           | VDE, XOP, XOM, CVX, COP                     |
| IBD 50                   |           ETF | **FFTY**          | —                                           |
| Biotech                  |           ETF | **XBI**           | IBB, ARKG                                   |
| Homebuilders             |           ETF | **ITB**           | XHB, DHI, LEN, PHM, TOL                     |
| Software                 |           ETF | **IGV**           | WCLD, CRM, NOW, DDOG, SNOW, MDB             |
| Healthcare               |           ETF | **XLV**           | VHT, IYH, LLY, UNH, JNJ, ABBV               |
| Drones                   | Hybrid basket | **XAR / ITA**     | AVAV, KTOS, RCAT, JOBY, ACHR, EH            |
| Tech Equal-Weight        |           ETF | **RYT**           | QQEW, QQQE                                  |
| Consumer Retail          |           ETF | **XRT**           | RTH, WMT, COST, TGT, TJX, AMZN              |
| Fintech                  |           ETF | **FINX**          | ARKF, IPAY, SQ, PYPL, SOFI, HOOD, AFRM      |
| Silver                   |           ETF | **SLV**           | SIL, SILJ, PAAS, AG, MAG                    |
| Gold                     |           ETF | **GLD**           | IAU, GDX, GDXJ, NEM, GOLD, AEM              |
| Copper Miners            |           ETF | **COPX**          | CPER, FCX, SCCO, TECK                       |
